1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,2,4,4,5,6,8,8,16,16,16,16,16,16,16,16,18,18,20,20,27,27,27,27,27,27,27,28,34,34,34
1,2,3,5,5,6,14,14,14,14,14,14,14,14,16,16,23,23,23,23,23,23,23,24,32,32,32,32,32,32,32
1,3,3,5,5,9,9,9,9,15,15,15,15,15,15,21,21,21,21,21,21,26,26,26,26,26,29,29,29,35,35
1,2,4,4,5,7,7,9,9,16,16,16,16,16,16,16,17,25,25,25,25,25,25,25,25,31,31,31,31,31,31
1,3,3,5,5,9,9,9,9,15,15,15,15,15,15,21,21,21,21,21,21,26,26,26,26,26,29,29,29,35,35
1,2,4,4,5,7,7,9,9,16,16,16,16,16,16,16,17,25,25,25,25,25,25,25,25,31,31,31,31,31,31
1,2,4,4,5,6,7,9,9,10,18,18,18,18,18,18,18,18,20,20,22,22,29,29,29,29,29,29,29,30,36
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,4,4,11,11,11,11,11,11,11,12,16,16,16,16,24,24,24,24,24,24,24,24,30,30,30,30,30,30,35
1,2,3,5,5,6,14,14,14,14,14,14,14,14,16,16,23,23,23,23,23,23,23,24,32,32,32,32,32,32,32
1,2,4,4,5,6,8,8,9,17,17,17,17,17,17,17,17,19,19,21,21,28,28,28,28,28,28,28,29,35,35
1,3,3,4,6,6,8,8,16,16,16,16,16,16,16,16,20,20,20,20,26,26,26,26,26,26,32,32,32,32,32
1,2,4,4,5,7,7,8,16,16,16,16,16,16,16,16,18,18,20,20,27,27,27,27,27,27,27,28,36,36,36
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,4,4,5,6,7,9,9,10,18,18,18,18,18,18,18,18,20,20,22,22,29,29,29,29,29,29,29,30,36
1,2,3,5,5,13,13,13,13,13,13,13,13,15,15,17,17,24,24,24,24,24,24,24,25,31,31,31,31,31,31
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,3,4,6,6,7,15,15,15,15,15,15,15,15,17,17,19,19,26,26,26,26,26,26,26,27,33,33,33,33
1,2,3,4,6,6,7,15,15,15,15,15,15,15,15,17,17,24,24,24,24,24,24,24,25,33,33,33,33,33,33
1,2,4,4,6,6,7,8,10,10,11,19,19,19,19,19,19,19,19,26,26,26,26,26,26,26,27,35,35,35,35
1,2,4,4,5,7,7,8,16,16,16,16,16,16,16,16,18,18,25,25,25,25,25,25,25,26,34,34,34,34,34
1,2,3,4,6,6,7,15,15,15,15,15,15,15,15,17,17,19,19,26,26,26,26,26,26,26,27,33,33,33,33
1,2,3,5,5,6,14,14,14,14,14,14,14,14,21,21,21,21,21,21,21,22,30,30,30,30,30,30,30,30,36
1,2,4,4,5,7,7,8,16,16,16,16,16,16,16,16,18,18,20,20,27,27,27,27,27,27,27,28,34,34,34
1,2,3,4,6,6,7,15,15,15,15,15,15,15,15,17,17,24,24,24,24,24,24,24,25,33,33,33,33,33,33
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,3,5,5,12,12,12,12,12,12,12,14,14,15,23,23,23,23,23,23,23,23,29,29,29,29,29,29,33,33
1,2,3,5,5,13,13,13,13,13,13,13,13,15,15,22,22,22,22,22,22,22,23,31,31,31,31,31,31,31,31
1,3,3,5,5,7,7,14,14,14,14,14,14,14,16,16,17,21,21,21,21,27,27,27,27,27,27,33,33,33,33
1,3,3,5,5,12,12,12,12,12,12,12,14,14,15,19,19,19,19,25,25,25,25,25,25,31,31,31,31,31,31
1,2,4,4,6,6,14,14,14,14,14,14,14,14,20,20,20,20,20,20,24,24,24,24,30,30,30,30,30,30,35
1,2,4,4,6,6,14,14,14,14,14,14,14,14,20,20,20,20,20,20,24,24,24,24,30,30,30,30,30,30,35
1,3,3,5,5,12,12,12,12,12,12,12,14,14,15,19,19,19,19,25,25,25,25,25,25,31,31,31,31,31,31
1,3,3,4,6,6,8,8,16,16,16,16,16,16,16,16,22,22,22,22,22,22,26,26,26,26,32,32,32,32,32
1,3,3,5,5,9,9,9,9,15,15,15,15,15,15,20,20,20,20,20,23,23,23,29,29,29,29,29,29,30,40
1,3,3,4,6,6,8,8,16,16,16,16,16,16,16,16,22,22,22,22,22,22,26,26,26,26,32,32,32,32,32
1,2,4,4,6,6,14,14,14,14,14,14,14,14,20,20,20,20,20,20,24,24,24,24,30,30,30,30,30,30,35
1,3,3,5,5,12,12,12,12,12,12,12,14,14,15,23,23,23,23,23,23,23,23,29,29,29,29,29,29,35,35
1,2,3,4,11,11,11,11,11,11,11,13,13,14,22,22,22,22,22,22,22,22,28,28,28,28,28,28,34,34,34
1,8,8,8,8,8,8,8,10,10,12,12,13,21,21,21,21,21,21,21,21,27,27,27,27,27,27,33,33,33,33
1,8,8,8,8,8,8,8,9,11,11,17,17,17,17,17,17,25,25,25,25,25,25,25,25,30,30,30,30,30,33
1,8,8,8,8,8,8,8,10,10,12,12,13,21,21,21,21,21,21,21,21,27,27,27,27,27,27,33,33,33,33
1,2,3,4,11,11,11,11,11,11,11,13,13,14,22,22,22,22,22,22,22,22,28,28,28,28,28,28,34,34,34
1,8,8,8,8,8,8,8,10,10,12,12,13,21,21,21,21,21,21,21,21,27,27,27,27,27,27,33,33,33,33
1,3,3,10,10,10,10,10,10,10,12,12,13,17,17,17,17,23,23,23,23,23,23,31,31,31,31,31,31,31,31
1,8,8,8,8,8,8,8,9,11,11,17,17,17,17,17,17,22,22,22,22,22,25,25,25,31,31,31,31,31,31
1,2,4,4,5,6,8,8,9,17,17,17,17,17,17,17,17,19,19,26,26,26,26,26,26,26,27,35,35,35,35
1,2,3,4,6,6,7,15,15,15,15,15,15,15,15,17,17,19,19,26,26,26,26,26,26,26,27,33,33,33,33
1,2,3,5,5,6,14,14,14,14,14,14,14,14,16,16,23,23,23,23,23,23,23,24,32,32,32,32,32,32,32
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,4,4,6,6,7,8,9,11,11,12,20,20,20,20,20,20,20,20,22,22,24,24,31,31,31,31,31,31,31
1,2,3,4,6,6,7,15,15,15,15,15,15,15,15,17,17,19,19,26,26,26,26,26,26,26,27,33,33,33,33
1,2,3,5,5,6,7,9,9,10,18,18,18,18,18,18,18,18,20,20,22,22,29,29,29,29,29,29,29,30,36
1,3,3,10,10,10,10,10,10,10,12,12,13,21,21,21,21,21,21,21,21,27,27,27,27,27,27,32,32,32,32
