1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2,2,7,7,7,7,7,9,9,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,27,27,27,27,27,27,27,27,34,34,34
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,27,27,27,27,27,27,27,27,34,34,34
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,5,5,7,7,9,9,16,16,16,16,16,16,16,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1,3,3,8,8,8,8,8,10,10,12,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,37
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
5,5,5,5,5,7,7,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,34,34,34,34
2,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,29,29,29,29,29,29,29,29,36
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,21,21,29,29,29,29,29,29,29,29,31
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
2,2,7,7,7,7,7,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,34,34,34,34
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
2,2,7,7,7,7,7,9,9,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36
2,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,29,29,29,29,29,29,29,29,36
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,27,27,27,27,27,27,27,27,34,34,34
5,5,5,5,5,7,7,9,9,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
2,2,4,4,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,31,31,31,31,31,31,31
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,5,5,7,7,9,9,11,11,18,18,18,18,18,18,18,37,37,37,37,37,37,37,37,37,37,37,37
1,3,3,8,8,8,8,8,10,10,12,12,14,14,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,8,8,8,8,8,10,10,12,12,14,14,16,16,24,24,24,24,24,24,24,24,31,31,31,31,31,31
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,27,27,27,27,27,27,27,27,34,34,34
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,8,8,8,8,8,10,10,12,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,37
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
2,2,7,7,7,7,7,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,34,34,34,34
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
2,2,7,7,7,7,7,9,9,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,5,5,7,7,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,34,34,34,34
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,3,3,8,8,8,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,3,3,10,10,10,10,10,10,10,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,35,35,35
1,3,3,10,10,10,10,10,10,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30
1,3,3,5,5,7,7,14,14,14,14,14,14,14,16,16,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,8,8,8,8,8,10,10,12,12,14,14,16,16,24,24,24,24,24,24,24,24,31,31,31,31,31,31
1,3,3,5,5,7,7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,32,32,32,32,32,32
1,3,3,5,5,7,7,9,9,11,11,18,18,18,18,18,18,18,37,37,37,37,37,37,37,37,37,37,37,37
1,3,3,5,5,7,7,9,9,16,16,16,16,16,16,16,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,5,5,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30
1,3,3,8,8,8,8,8,10,10,12,12,14,14,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,5,5,7,7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,34,34,34,34
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,5,5,7,7,14,14,14,14,14,14,14,16,16,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,10,10,10,10,10,12,12,14,14,22,22,22,22,22,22,22,22,29,29,29,29,29,29,29,48
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,8,8,8,8,8,10,10,12,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,37
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,3,3,5,5,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,25,25,25,25,25,25,25,32,32,32,32,32
1,3,3,5,5,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30
1,3,3,5,5,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,3,3,8,8,8,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,25,25,25,25,25,25,25,27,27,34,34,34
1,3,3,5,5,7,7,9,9,16,16,16,16,16,16,16,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
1,6,6,6,6,6,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,33,33,33,33
5,5,5,5,5,7,7,9,9,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,5,5,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30
1,3,3,8,8,8,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,3,3,5,5,7,7,9,9,11,11,18,18,18,18,18,18,18,37,37,37,37,37,37,37,37,37,37,37,37
1,3,3,8,8,8,8,8,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35
1,3,3,5,5,7,7,14,14,14,14,14,14,14,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,8,8,8,8,8,10,10,12,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31
1,6,6,6,6,6,8,8,16,16,16,16,16,16,16,16,23,23,23,23,23,23,23,42,42,42,42,42,42,42
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,10,10,10,10,10,10,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31
1,6,6,6,6,6,8,8,10,10,18,18,18,18,18,18,18,18,25,25,25,25,25,25,25,44,44,44,44,44
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,35,35
1,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,30,30,30,30,30,30,30,30
1,3,3,8,8,8,8,8,10,10,12,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31
1,3,3,10,10,10,10,10,10,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30
1,3,3,5,5,7,7,9,9,11,11,18,18,18,18,18,18,18,37,37,37,37,37,37,37,37,37,37,37,37
1,3,3,10,10,10,10,10,10,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30
